player,course,previous total rounds,course experience,Player_initial_last,tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,tournament name,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Anirban Lahiri,"TPC San Antonio - San Antonio, TX",12,Knowledgeable,A. Lahiri,401353273,4989,288,280,4,1,13.0,Valero Texas Open,2022-04-03,8.6,2022,0,T13,0.6,-0.41,0.85,0.63,1.07,1.67
Anirban Lahiri,"TPC Sawgrass - Ponte Vedra Beach, FL",10,Knowledgeable,A. Lahiri,401353254,4989,288,276,4,1,2.0,The Players Championship,2022-03-13,20.0,2022,0,2,1.41,0.02,1.04,0.87,1.93,3.34
Anirban Lahiri,"TPC Scottsdale - Scottsdale, AZ",6,Knowledgeable,A. Lahiri,401353236,4989,142,145,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,-1.8,-0.09,-0.68,0.49,-0.28,-2.08
Anirban Lahiri,"TPC Summerlin - Las Vegas, NV",8,Knowledgeable,A. Lahiri,401353195,4989,284,278,4,1,64.0,Shriners Hospital for Children Open,2021-10-10,7.0,2022,0,64,-0.44,0.31,-0.97,0.6,-0.06,-0.5
Anirban Lahiri,"Torrey Pines North - La Jolla, CA",10,Knowledgeable,A. Lahiri,401353234,4989,285,283,4,1,46.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,T46,0.38,1.26,0.46,-0.56,1.17,0.69
Arjun Atwal,"Port Royal GC - Southampton Parish, Bermuda",6,Knowledgeable,A. Atwal,401353199,824,284,288,4,1,71.0,Bermuda Championship,2021-10-31,6.5,2022,0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Cook,"Country Club of Jackson - Jackson, MS",10,Knowledgeable,A. Cook,401353194,9517,288,284,4,1,67.0,Sanderson Farms Championship,2021-10-03,7.0,2022,0,67,-0.71,-0.01,-0.7,0.14,-0.58,-1.29
Austin Cook,"Grand Reserve Country Club - Rio Grande, Puerto Rico",4,Novice,A. Cook,401353253,9517,288,287,4,1,61.0,Puerto Rico Open,2022-03-06,3.7,2022,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Cook,"Innisbrook - Palm Harbor, FL",8,Knowledgeable,A. Cook,401353255,9517,142,148,2,0,0.0,Valspar Championship,2022-03-20,7.8,2022,0,CUT,-0.45,-0.34,-2.52,-0.48,-3.34,-3.79
Austin Cook,"La Quinta CC - La Quinta, CA",11,Knowledgeable,A. Cook,401353233,9517,216,216,3,1,0.0,The American Express,2022-01-23,7.6,2022,0,CUT,-1.09,-0.21,-2.71,-2.71,-5.64,-0.87
Austin Cook,"PGA National - Palm Beach Gardens, FL",8,Knowledgeable,A. Cook,401353238,9517,280,292,4,1,72.0,The Honda Classic,2022-02-27,8.0,2022,0,T72,0.06,-0.87,-1.06,0.17,-1.76,-1.7
Austin Cook,"Pebble Beach Resort - Pebble Beach, CA",10,Knowledgeable,A. Cook,401353235,9517,287,281,4,1,42.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,T42,-1.99,1.2,0.91,0.59,2.7,0.93
Austin Cook,"Sea Island Resort - Sea Island, GA",14,Knowledgeable,A. Cook,401353202,9517,142,146,2,0,0.0,The RSM Classic,2021-11-21,7.2,2022,0,CUT,-2.0,-0.65,0.99,-5.04,-4.69,-3.51
Austin Cook,"Silverado Resort - Napa, CA",6,Knowledgeable,A. Cook,401353193,9517,288,276,4,1,11.0,Fortinet Championship,2021-09-20,7.0,2022,0,T11,1.61,0.24,-0.18,0.27,0.33,1.93
Austin Cook,"TPC Craig Ranch - McKinney, TX",4,Novice,A. Cook,401353227,9517,144,144,2,0,0.0,AT&T Byron Nelson,2022-05-15,9.1,2022,0,CUT,-0.53,-1.25,0.61,-1.19,-1.83,-2.36
Austin Cook,"TPC San Antonio - San Antonio, TX",8,Knowledgeable,A. Cook,401353273,9517,144,144,2,0,0.0,Valero Texas Open,2022-04-03,8.6,2022,0,CUT,-0.04,0.25,-0.67,-0.07,-0.47,-0.51
Austin Cook,"Torrey Pines North - La Jolla, CA",2,Novice,A. Cook,401353234,9517,143,142,2,0,0.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,CUT,2.65,1.2,-0.55,-0.05,0.6,0.17
Austin Cook,"Waialae CC - Honolulu, HI",8,Knowledgeable,A. Cook,401353204,9517,140,139,2,0,0.0,Sony Open in Hawaii,2022-01-16,7.5,2022,0,CUT,0.25,0.2,-1.89,0.07,-1.63,-1.37
Austin Eckroat,"Pebble Beach Resort - Pebble Beach, CA",2,Novice,A. Eckroat,401353235,4425898,143,137,2,0,0.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,MDF,-4.2,-0.83,-0.83,1.95,0.29,0.17
Beau Hossler,"Bay Hill - Orlando, FL",12,Knowledgeable,B. Hossler,401353239,6011,288,291,4,1,20.0,Arnold Palmer Invitational Pres. by Mastercard,2022-03-06,12.0,2022,0,T20,1.45,0.18,0.28,-0.61,-0.15,1.29
